id,label,type,name,source,source_id,uri,modifiers
3ba1585c-1d7e-44f7-b990-1818df0fa8f7,AOP,aop,Estrogen antagonism leading to increased risk of autism-like behavior,AOPWiki,,,[]
3bb8c1aa-cb7f-4bca-8820-487b6e72624b,AOP,aop,"TLR4 activation, PPAR gamma activation and Pulmonary fibrosis",AOPWiki,,,[]
3bbab59c-0682-417e-bb8e-0031b48510a0,KeyEvent,key-event,"Decreased, atRA concentration",AOPWiki,,,[]
3bc11c0a-0ab5-4669-9cad-88320b7c20af,KeyEvent,key-event,"Hippocampal Physiology, Altered",AOPWiki,,,[]
3bcd6449-34cb-4bf2-a59d-4185feba78ff,KeyEvent,key-event,Cell injury/death,AOPWiki,,,[]
3be7a4df-60e7-4dcd-8ef3-a62ac3596fb5,KeyEvent,key-event,"Increase, Alcohol dehydrogenase",AOPWiki,,,[]
3bee6300-d231-4eee-a31d-58ef52d2ee06,BiologicalTerm,biological-object,"Eip75B protein, Drosophila",MESH,C061375,,[]
3bfec2f4-1ad6-4846-abc9-cb0fb65cc64a,Stressor,stressor,Phenytoin,,,,"[""stressor""]"
3c087df9-e7a6-4d3e-89b7-22ca4279f244,KeyEvent,key-event,Interaction of α-diketones with arginine residues,AOPWiki,,,[]
3c1ac925-a037-4f39-b09f-5c5c6c183b2c,KeyEvent,key-event,"Decreased, 5-HT3",AOPWiki,,,[]
3c1fb13b-eb50-4dbd-b905-56914cc0e9d3,KeyEvent,key-event,Decreased COUP-TFII in Leydig cells,AOPWiki,,,[]
3c20e20a-1a2e-440e-8ffd-e2ec2fc703e9,KeyEvent,key-event,Ang (1-7) levels reduced,AOPWiki,,,[]
3c50d44a-e963-4598-b34f-eaaa1795ae19,BiologicalTerm,biological-object,extracellular region,GO,GO:0005576,,[]
3c69f063-5873-4700-90a4-2eab5f6cc6ca,Stressor,stressor,"2-Imidazolidinimine, 1-[(6-chloro-3-pyridinyl)methyl]-N-nitro-, (2E)-",,,,"[""stressor""]"
3c6dc3c6-de9d-491a-a82a-b85e742ad87c,BiologicalTerm,biological-process,Immunosuppression,IDO,IDO:0000610,,[]
3c7f8edb-c3cc-4bb3-9f47-ce040e6abcd3,KeyEvent,key-event,"Increased, leukocyte adherence",AOPWiki,,,[]
3c85df08-3836-4cd2-b151-ad5f4019776e,AOP,aop,Kidney dysfunction,AOPWiki,,,[]
3c9d27eb-9cbf-4d44-9a31-dd1bb8aa2189,KeyEvent,key-event,"Decease, expression of GnRHR",AOPWiki,,,[]
3cc3ea18-7157-4921-a116-ad45cd68d97d,BiologicalTerm,biological-object,Carcinoma,MESH,D002277,,[]
3cfe3ad6-ab67-4845-830f-19fa36ead196,Taxon,taxonomy,Panthera tigris jacksoni,NCBI,419130,,[]
3d1af9cc-df1f-42f9-a6af-b689f8c15bdb,Chemical,chemical,Tetraconazole,DSSTox,DTXSID8034956,,"[""stressor""]"
3d2435de-0166-4d20-a4dd-c7c150af9d08,KeyEvent,key-event,Reduction in melanin level,AOPWiki,,,[]
3d2e61ee-abae-429b-9154-17323f946d0d,BiologicalTerm,biological-object,glutathione synthetase,PR,PR:000008293,,[]
3d3334a5-27b3-47f8-8d75-34b1261bd4ec,Chemical,chemical,Bixafen,DSSTox,DTXSID6058134,,"[""stressor""]"
3d3a3992-455c-443f-9f72-adbdd8e85e9a,BiologicalTerm,biological-object,B cell,CL,CL:0000236,,[]
3d3cb55d-8099-419e-a199-3beb31b9e5da,KeyEvent,key-event,"Decrease, Cardiac ejection fraction",AOPWiki,,,[]
3d3d0d68-85f5-4979-9819-8c196f13363f,Taxon,taxonomy,Rana catesbeiana,common ecological species,WCS_8400,,[]
3d531087-4a41-4d79-b8ae-d9a0ff2517cf,KeyEvent,key-event,"Activation, Constitutive androstane receptor",AOPWiki,,,[]
3d793ad2-59d8-407e-a5cd-52f0e494f341,KeyEvent,key-event,"Increased, Binding of chemicals to 2u (serum)",AOPWiki,,,[]
3d8ae573-e608-40fb-8e0d-e988c316cfd3,Chemical,chemical,Nifedipine,DSSTox,DTXSID2025715,,"[""stressor""]"
3d8d2223-6b77-4902-95a5-bea9cb43aada,Chemical,chemical,Triphenyl phosphate,DSSTox,DTXSID1021952,,"[""stressor""]"
3d8ea90f-0642-4f76-8f4e-053bf09b2535,Chemical,chemical,Hydroquinone,DSSTox,DTXSID7020716,,"[""stressor""]"
3d937fc7-bce3-4e5a-ba8a-a0a2724e3145,BiologicalTerm,biological-process,receptor agonist activity,GO,GO:0048018,,[]
3d9cefc0-40a8-4772-9e15-fa5759a65ed6,KeyEvent,key-event,Energy Deposition,AOPWiki,,,[]
3d9e783d-b39b-4ea9-851a-c5b9e76df4b3,KeyEvent,key-event,"Interference, nuclear localization of NFAT",AOPWiki,,,[]
3da5d1bf-1238-41f4-b314-243638776319,Chemical,chemical,"1,2-Benzenedicarboxylic acid, dibutyl ester",DSSTox,DTXSID2021781,,"[""stressor""]"
3da81578-9cc3-4d97-b704-1ee4da84ef6c,KeyEvent,key-event,"Reduced, Presynaptic release of glutamate",AOPWiki,,,[]
3db55c70-40c3-4beb-93a0-49f729f6668d,KeyEvent,key-event,"Activation of specific nuclear receptors, Transcriptional change",AOPWiki,,,[]
3dbc563c-9600-4a65-bcc2-374f4cb92ecf,BiologicalTerm,biological-process,brain inflammation,MP,MP:0001847,,[]
3dc1b409-2318-43a3-9701-2c26dd0ed8bc,Taxon,taxonomy,chicken,common ecological species,WCS_9031,,[]
3dcf1838-92eb-49d3-8b74-539bd76e38e5,AOP,aop,Inhibition of NTE leading to delayed neuropathy via LPS cell membrane integration,AOPWiki,,,[]
3dd82ec8-c946-4027-9d0b-d2cc89fe5f1e,KeyEvent,key-event,"reduction in ovarian granulosa cells, Aromatase (Cyp19a1)",AOPWiki,,,[]
